【관청이칭표】

異稱	대표명	비고
戎器署	軍器署	
戎器都監	軍器造成都監	
義禁司	義禁府	
禁府	義禁府	
理部	刑部	
人物推考都監	人物推辨都監	
會問司	人物推辨都監	
濟用司	資贍司	
通禮院	掌禮院	
尙衣局	掌服署	
淨事色	齋醮都監	
主殿司	殿閣司	
主殿院	殿閣司	
大理寺	典獄署	
殿中監	宗簿寺	
政房	尙瑞司	
諸學院	諸學署	
曹設	廊官	
密直司	中樞院	
天官衙門	吏曹	
詹事府	世子府	
世子詹事府	世子府	
摠部	兵部	
兵曹	兵部	
軍簿司	兵部	
秋官衙門	刑曹	
春官衙門	禮曹	
春坊院	世子府	
勳府	忠勳府	
虎賁軍	親御軍	
大僕寺	太僕寺	
大常寺	太常寺	
內衙門	統理軍國事務衙門	
統理內務衙門	統理軍國事務衙門	
平理院	義禁司	
夏官衙門	兵曹	
漢語都監	漢文都監	
惠民庫	惠民署	
惠民典藥局	惠民局	
活人院	東西大悲院	
會計司	會計院	
訓局	訓鍊都監	
春曹	禮曹	
